group_label	center_PC1	center_PC2	center_PC3	center_PC4	center_PC5	center_PC6
Macedonia	0.020542049894534342	-0.012664903882234471	0.01968631897783468	0.00138933991044573	0.0106532564848034	-0.004445837036608934
Gibraltar	0.02207201664755348	0.01644371734431002	0.01139237971362789	-0.002757604312422296	-0.01683171531960417	0.00672784281401878
Estonia	-0.0365559117165067	-0.037254672889562045	0.00302139421667535	-0.004605151247293315	-0.010550041921555316	-0.0021458253403971654
Albania	0.03497215095794399	-0.004452321954972336	0.021291622183816923	-0.0024027804837524164	0.012534958540714248	-0.0057096434899443615
CEU	-0.014948563174188596	0.012646613932451724	-0.004976032633565466	0.001135252962601493	0.0037087850642273	0.0010314582101843398
IBS	0.016554927613432312	0.015959565520916236	0.009143242010833864	-0.0007962801813597212	-0.014874411129050283	0.0056186224475489
TSI	0.029319273544433862	0.007013694398731218	0.011217107940276954	-0.003037587087418406	0.0036033799545003922	-0.00040871173241976744
FIN	-0.0378299485719747	-0.0276235664724242	-0.01198797868741674	-0.04483695897651899	-0.0118847116083102	-0.006614220808249807
GBR	-0.014657048560538564	0.01407001163030433	-0.004800974974469308	0.002879867274822151	0.0013199978783331706	-0.002378737576031224
French	0.0009185952897086948	0.011664419873242	0.0018917254936676616	0.0011576420797378098	-0.0024711032855017872	0.0016220156521551965
Sardinian	0.04228876678559904	0.021907971142184398	0.021363412154280326	-0.003922212245786602	-0.016463937106777553	0.014845647522951068
Russian	-0.025965782878354195	-0.03380316365959234	0.0031864200158013196	-0.004941958910465037	-0.0063222566431408635	-0.00562040782102552
Basque	0.008894881714476463	0.025386791980532095	0.011978360100215107	0.0019072665087107733	-0.02965363565605836	0.012693403193708524
Adygei	0.03594919811171399	-0.015207571508503761	0.007176043768858494	-0.009180756303400086	0.018612774463521373	-0.01830581439369529
Orcadian	-0.01709646329810719	0.01340836097646635	-0.005753254005057466	0.0031584573099115104	0.00044760345425068105	-0.005357570083150018
BergamoItalian	0.021994788638445544	0.008740527631343512	0.011332920714246094	-0.001642053557321379	0.0003423681310788731	0.0024448648911480613
Tuscan	0.030148061290593397	0.005752389295507079	0.010200606385241279	-0.004818508061660917	0.004260986261871677	-0.0008589102518283382
